pdbTM,best_tm_score,best_bb_rmsd,radius_of_gyration,design_name,pdb_file,non_coil_percent,coil_percent,helix_percent,strand_percent
0.715,0.241576008,12.43999717,1.581758897,n_101_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_0/n_101_id_0.pdb,0.554455446,0.445544554,0.445544554,0.108910891
0.556,0.229070423,13.59418841,1.624816844,n_101_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_1/n_101_id_1.pdb,0.257425743,0.742574257,0,0.257425743
0.789,0.232642226,21.52915038,2.4729322,n_101_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_2/n_101_id_2.pdb,0.702970297,0.297029703,0.702970297,0
0.493,0.223550454,15.13387613,1.66533337,n_101_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_3/n_101_id_3.pdb,0.267326733,0.732673267,0.138613861,0.128712871
0.508,0.259212624,11.65223841,1.504075003,n_101_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_4/n_101_id_4.pdb,0.475247525,0.524752475,0.247524752,0.227722772
0.597,0.267331838,12.75346461,1.36256675,n_101_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_5/n_101_id_5.pdb,0.514851485,0.485148515,0.316831683,0.198019802
0.568,0.26739196,12.65403029,1.457070451,n_101_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_6/n_101_id_6.pdb,0.386138614,0.613861386,0.326732673,0.059405941
0.595,0.221678218,22.68615589,2.561954746,n_101_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_7/n_101_id_7.pdb,0.534653465,0.465346535,0.534653465,0
0.431,0.237417497,15.60351896,1.741776788,n_101_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_8/n_101_id_8.pdb,0.386138614,0.613861386,0.267326733,0.118811881
0.65,0.214919285,15.61547087,1.57905257,n_101_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_101_id_9/n_101_id_9.pdb,0.465346535,0.534653465,0.237623762,0.227722772
0.584,0.223838659,20.95597526,2.333982634,n_102_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_0/n_102_id_0.pdb,0.411764706,0.588235294,0.411764706,0
0.645,0.326535932,15.50980062,2.220878006,n_102_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_1/n_102_id_1.pdb,0.705882353,0.294117647,0.705882353,0
0.775,0.253286609,14.5121601,1.695195841,n_102_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_2/n_102_id_2.pdb,0.696078431,0.303921569,0.647058824,0.049019608
0.582,0.247547237,14.02562399,1.572081286,n_102_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_3/n_102_id_3.pdb,0.656862745,0.343137255,0.558823529,0.098039216
0.551,0.22255128,11.5118895,1.523394061,n_102_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_4/n_102_id_4.pdb,0.117647059,0.882352941,0,0.117647059
0.612,0.260627815,14.02950334,1.318887754,n_102_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_5/n_102_id_5.pdb,0.558823529,0.441176471,0.411764706,0.147058824
0.528,0.232640923,11.78925032,1.325014216,n_102_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_6/n_102_id_6.pdb,0.343137255,0.656862745,0.303921569,0.039215686
0.597,0.279702801,11.31574274,1.560299992,n_102_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_7/n_102_id_7.pdb,0.568627451,0.431372549,0.568627451,0
0.498,0.259151504,12.41760809,1.280626351,n_102_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_8/n_102_id_8.pdb,0.352941176,0.647058824,0.323529412,0.029411765
0.81,0.203642098,15.38556045,2.024920575,n_102_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_102_id_9/n_102_id_9.pdb,0.529411765,0.470588235,0.529411765,0
0.529,0.26136028,13.3321924,1.550377326,n_103_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_0/n_103_id_0.pdb,0.427184466,0.572815534,0.427184466,0
0.515,0.242847369,12.42117431,1.427439887,n_103_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_1/n_103_id_1.pdb,0.398058252,0.601941748,0.349514563,0.048543689
0.653,0.258357774,16.95949439,1.838149049,n_103_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_2/n_103_id_2.pdb,0.466019417,0.533980583,0.291262136,0.174757282
0.686,0.259874146,15.09886314,1.71814547,n_103_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_3/n_103_id_3.pdb,0.553398058,0.446601942,0.553398058,0
0.743,0.238431518,19.74421993,2.140397408,n_103_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_4/n_103_id_4.pdb,0.718446602,0.281553398,0.621359223,0.097087379
0.554,0.272014561,12.35154579,1.629770474,n_103_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_5/n_103_id_5.pdb,0.601941748,0.398058252,0.533980583,0.067961165
0.652,0.28847194,14.21798429,1.54821234,n_103_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_6/n_103_id_6.pdb,0.621359223,0.378640777,0.553398058,0.067961165
0.848,0.274148233,11.84604003,1.732375133,n_103_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_7/n_103_id_7.pdb,0.893203883,0.106796117,0.893203883,0
0.506,0.275541854,13.4571878,1.687954519,n_103_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_8/n_103_id_8.pdb,0.524271845,0.475728155,0.378640777,0.145631068
0.625,0.256339114,14.04464273,1.371251984,n_103_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_103_id_9/n_103_id_9.pdb,0.446601942,0.553398058,0.291262136,0.155339806
0.582,0.27407972,14.13921957,1.526900498,n_104_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_0/n_104_id_0.pdb,0.538461538,0.461538462,0.5,0.038461538
0.667,0.30864047,11.11669352,1.389660831,n_104_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_1/n_104_id_1.pdb,0.730769231,0.269230769,0.730769231,0
0.515,0.335601351,10.64805358,1.433648086,n_104_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_2/n_104_id_2.pdb,0.701923077,0.298076923,0.701923077,0
0.54,0.224172528,12.79267976,1.398487759,n_104_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_3/n_104_id_3.pdb,0.355769231,0.644230769,0.269230769,0.086538462
0.635,0.252239962,13.74082014,1.283182915,n_104_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_4/n_104_id_4.pdb,0.394230769,0.605769231,0.25,0.144230769
0.818,0.252725376,17.51674536,2.171957501,n_104_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_5/n_104_id_5.pdb,0.778846154,0.221153846,0.663461538,0.115384615
0.487,0.268407517,14.03484701,1.418294439,n_104_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_6/n_104_id_6.pdb,0.365384615,0.634615385,0.153846154,0.211538462
0.826,0.222713506,18.51078234,1.88444756,n_104_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_7/n_104_id_7.pdb,0.5,0.5,0.375,0.125
0.739,0.258806361,12.86959978,1.770435046,n_104_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_8/n_104_id_8.pdb,0.634615385,0.365384615,0.634615385,0
0.566,0.213457046,17.57558625,1.957309282,n_104_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_104_id_9/n_104_id_9.pdb,0.490384615,0.509615385,0.451923077,0.038461538
0.568,0.2529096,13.37798572,1.592715425,n_105_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_0/n_105_id_0.pdb,0.457142857,0.542857143,0.180952381,0.276190476
0.616,0.360656959,11.93708766,1.704231114,n_105_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_1/n_105_id_1.pdb,0.914285714,0.085714286,0.914285714,0
0.686,0.298631576,12.64516196,1.365609199,n_105_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_2/n_105_id_2.pdb,0.533333333,0.466666667,0.361904762,0.171428571
0.716,0.300013767,21.12868176,2.603707735,n_105_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_3/n_105_id_3.pdb,0.838095238,0.161904762,0.838095238,0
0.59,0.255512847,14.43280849,1.801700863,n_105_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_4/n_105_id_4.pdb,0.371428571,0.628571429,0.171428571,0.2
0.652,0.30684424,18.42511943,2.022951989,n_105_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_5/n_105_id_5.pdb,0.542857143,0.457142857,0.542857143,0
0.595,0.315813327,17.84846393,1.76713312,n_105_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_6/n_105_id_6.pdb,0.628571429,0.371428571,0.628571429,0
0.577,0.258684028,13.3966693,1.754051042,n_105_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_7/n_105_id_7.pdb,0.619047619,0.380952381,0.619047619,0
0.709,0.240121274,10.89037879,1.349801183,n_105_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_8/n_105_id_8.pdb,0.638095238,0.361904762,0.638095238,0
0.487,0.24583379,14.09243286,1.384305191,n_105_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_105_id_9/n_105_id_9.pdb,0.552380952,0.447619048,0.304761905,0.247619048
0.857,0.211952773,28.6962945,3.385855858,n_106_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_0/n_106_id_0.pdb,0.575471698,0.424528302,0.518867925,0.056603774
0.59,0.255979144,11.83647979,1.250154834,n_106_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_1/n_106_id_1.pdb,0.594339623,0.405660377,0.594339623,0
0.507,0.205950321,16.14357514,1.949549648,n_106_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_2/n_106_id_2.pdb,0.471698113,0.528301887,0.273584906,0.198113208
0.526,0.259468807,13.36031371,1.320607225,n_106_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_3/n_106_id_3.pdb,0.632075472,0.367924528,0.632075472,0
0.651,0.221960671,14.78739092,1.957121414,n_106_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_4/n_106_id_4.pdb,0.547169811,0.452830189,0.339622642,0.20754717
0.64,0.283429465,12.89312814,1.475704559,n_106_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_5/n_106_id_5.pdb,0.575471698,0.424528302,0.528301887,0.047169811
0.496,0.285714449,12.96739,1.468478694,n_106_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_6/n_106_id_6.pdb,0.29245283,0.70754717,0.254716981,0.037735849
0.481,0.21019583,13.5513828,1.538715987,n_106_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_7/n_106_id_7.pdb,0.443396226,0.556603774,0.113207547,0.330188679
0.55,0.232002417,14.61291296,1.318308853,n_106_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_8/n_106_id_8.pdb,0.386792453,0.613207547,0.235849057,0.150943396
0.579,0.230740989,13.57353472,1.380995526,n_106_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_106_id_9/n_106_id_9.pdb,0.424528302,0.575471698,0.056603774,0.367924528
0.613,0.323279446,13.88650579,1.421686926,n_107_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_0/n_107_id_0.pdb,0.560747664,0.439252336,0.457943925,0.102803738
0.7,0.266085689,17.82622619,1.637354568,n_107_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_1/n_107_id_1.pdb,0.607476636,0.392523364,0.607476636,0
0.559,0.265680596,17.72321854,1.555422671,n_107_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_2/n_107_id_2.pdb,0.551401869,0.448598131,0.373831776,0.177570093
0.531,0.340235521,13.29978021,1.378908593,n_107_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_3/n_107_id_3.pdb,0.626168224,0.373831776,0.588785047,0.037383178
0.618,0.227947455,16.25213012,1.572664517,n_107_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_4/n_107_id_4.pdb,0.570093458,0.429906542,0.570093458,0
0.449,0.292503918,16.24408151,1.383793199,n_107_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_5/n_107_id_5.pdb,0.261682243,0.738317757,0.224299065,0.037383178
0.549,0.26649802,17.36683567,1.710091587,n_107_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_6/n_107_id_6.pdb,0.551401869,0.448598131,0.551401869,0
0.42,0.296051499,15.19184309,1.456901533,n_107_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_7/n_107_id_7.pdb,0.495327103,0.504672897,0.373831776,0.121495327
0.705,0.253687988,16.87689926,1.743173674,n_107_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_8/n_107_id_8.pdb,0.672897196,0.327102804,0.672897196,0
0.467,0.29379001,16.67232245,1.471818355,n_107_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_107_id_9/n_107_id_9.pdb,0.355140187,0.644859813,0.168224299,0.186915888
0.754,0.163769527,27.71581899,3.074802842,n_108_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_0/n_108_id_0.pdb,0.685185185,0.314814815,0.685185185,0
0.555,0.249360297,15.43653358,1.362341894,n_108_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_1/n_108_id_1.pdb,0.472222222,0.527777778,0,0.472222222
0.466,0.29118561,14.36092943,1.363727864,n_108_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_2/n_108_id_2.pdb,0.305555556,0.694444444,0.092592593,0.212962963
0.66,0.285162776,17.75190204,1.457239518,n_108_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_3/n_108_id_3.pdb,0.666666667,0.333333333,0.564814815,0.101851852
0.545,0.320376636,14.34101707,1.443138422,n_108_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_4/n_108_id_4.pdb,0.537037037,0.462962963,0.305555556,0.231481481
0.694,0.315501944,17.01609655,1.505059251,n_108_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_5/n_108_id_5.pdb,0.101851852,0.898148148,0,0.101851852
0.479,0.263077201,14.73555772,1.346535824,n_108_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_6/n_108_id_6.pdb,0.287037037,0.712962963,0.12962963,0.157407407
0.85,0.236522848,16.59650827,1.703731412,n_108_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_7/n_108_id_7.pdb,0.740740741,0.259259259,0.481481481,0.259259259
0.443,0.256683415,13.99158715,1.309267563,n_108_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_8/n_108_id_8.pdb,0.435185185,0.564814815,0.37037037,0.064814815
0.452,0.321213514,16.85334654,1.495924959,n_108_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_108_id_9/n_108_id_9.pdb,0.25,0.75,0.175925926,0.074074074
0.881,0.233852411,17.41939724,1.655501609,n_109_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_0/n_109_id_0.pdb,0.853211009,0.146788991,0.853211009,0
0.482,0.243682391,19.16758188,1.675737039,n_109_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_1/n_109_id_1.pdb,0.467889908,0.532110092,0.422018349,0.04587156
0.768,0.230423162,20.99087813,2.16525277,n_109_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_2/n_109_id_2.pdb,0.596330275,0.403669725,0.376146789,0.220183486
0.489,0.225805097,18.62819559,1.974646345,n_109_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_3/n_109_id_3.pdb,0.266055046,0.733944954,0.211009174,0.055045872
0.541,0.245922396,15.96318962,1.394192238,n_109_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_4/n_109_id_4.pdb,0.357798165,0.642201835,0.302752294,0.055045872
0.849,0.20101259,20.82978542,2.20249889,n_109_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_5/n_109_id_5.pdb,0.495412844,0.504587156,0.385321101,0.110091743
0.578,0.26307763,15.10388195,1.422320747,n_109_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_6/n_109_id_6.pdb,0.844036697,0.155963303,0.844036697,0
0.707,0.232896933,19.83107629,1.918808664,n_109_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_7/n_109_id_7.pdb,0.651376147,0.348623853,0.605504587,0.04587156
0.714,0.260786938,16.45243929,1.490798571,n_109_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_8/n_109_id_8.pdb,0.211009174,0.788990826,0,0.211009174
0.635,0.234885673,17.43429501,1.461190348,n_109_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_109_id_9/n_109_id_9.pdb,0.449541284,0.550458716,0,0.449541284
0.786,0.259852248,15.72349491,1.469906821,n_110_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_0/n_110_id_0.pdb,0.709090909,0.290909091,0.709090909,0
0.629,0.266514836,14.71496388,1.570158287,n_110_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_1/n_110_id_1.pdb,0.736363636,0.263636364,0.736363636,0
0.765,0.261751049,16.96588702,1.519374972,n_110_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_2/n_110_id_2.pdb,0.8,0.2,0.8,0
0.782,0.261588965,17.38238014,1.817529903,n_110_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_3/n_110_id_3.pdb,0.818181818,0.181818182,0.818181818,0
0.585,0.266558109,18.30566179,1.738804978,n_110_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_4/n_110_id_4.pdb,0.472727273,0.527272727,0.227272727,0.245454545
0.505,0.282327747,17.52965357,1.461941427,n_110_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_5/n_110_id_5.pdb,0.609090909,0.390909091,0.609090909,0
0.796,0.279264392,15.78557062,1.513454764,n_110_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_6/n_110_id_6.pdb,0.8,0.2,0.8,0
0.91,0.244565161,22.58979562,2.617246896,n_110_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_7/n_110_id_7.pdb,0.881818182,0.118181818,0.881818182,0
0.591,0.307942104,17.61437414,1.57151856,n_110_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_8/n_110_id_8.pdb,0.6,0.4,0.463636364,0.136363636
0.669,0.230794865,25.01154837,2.601477613,n_110_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_110_id_9/n_110_id_9.pdb,0.627272727,0.372727273,0.481818182,0.145454545
0.544,0.233446702,17.21940424,1.552705469,n_111_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_0/n_111_id_0.pdb,0.441441441,0.558558559,0.288288288,0.153153153
0.442,0.230747079,21.51928917,1.997014778,n_111_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_1/n_111_id_1.pdb,0.189189189,0.810810811,0,0.189189189
0.621,0.213244634,20.49537496,1.912099218,n_111_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_2/n_111_id_2.pdb,0.630630631,0.369369369,0.459459459,0.171171171
0.467,0.196069715,20.57420986,2.20035579,n_111_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_3/n_111_id_3.pdb,0.378378378,0.621621622,0.162162162,0.216216216
0.474,0.187112281,16.94041507,1.552528819,n_111_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_4/n_111_id_4.pdb,0.45045045,0.54954955,0.171171171,0.279279279
0.506,0.240803079,18.93771567,1.538756627,n_111_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_5/n_111_id_5.pdb,0.630630631,0.369369369,0.486486486,0.144144144
0.689,0.190475116,26.15234583,2.551692961,n_111_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_6/n_111_id_6.pdb,0.459459459,0.540540541,0.405405405,0.054054054
0.568,0.22101437,15.78278466,1.653303476,n_111_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_7/n_111_id_7.pdb,0.315315315,0.684684685,0.135135135,0.18018018
0.733,0.223808809,19.09701676,1.749340754,n_111_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_8/n_111_id_8.pdb,0.387387387,0.612612613,0.18018018,0.207207207
0.705,0.230998351,15.20994847,1.537607179,n_111_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_111_id_9/n_111_id_9.pdb,0.684684685,0.315315315,0.477477477,0.207207207
0.65,0.232840626,17.52607104,1.39860203,n_112_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_112_id_0/n_112_id_0.pdb,0.508928571,0.491071429,0.508928571,0
